Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Ryzen 3 4100,Renoir,8-Apr,3.8 to 4 GHz,Socket AM4,7 nm,8MB,65 W,"Apr 4th, 2022"
Ryzen 5 3600,Matisse,12-Jun,3.6 to 4.2 GHz,Socket AM4,7 nm,32MB,65 W,"Jul 7th, 2019"
Ryzen 7 5800X3D,Vermeer,16-Aug,3.4 to 4.5 GHz,Socket AM4,7 nm,96MB,105 W,"Apr 20th, 2022"
Ryzen 5 5600X,Vermeer,12-Jun,3.7 to 4.6 GHz,Socket AM4,7 nm,32MB,65 W,"Nov 5th, 2020"
Ryzen 5 5600G,Cezanne,12-Jun,3.9 to 4.4 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 13th, 2021"
Ryzen 7 5800X,Vermeer,16-Aug,3.8 to 4.7 GHz,Socket AM4,7 nm,32MB,105 W,"Nov 5th, 2020"
Ryzen 7 5700X,Vermeer,16-Aug,3.4 to 4.6 GHz,Socket AM4,7 nm,32MB,65 W,"Apr 4th, 2022"
Ryzen 9 5900X,Vermeer,24-Dec,3.7 to 4.8 GHz,Socket AM4,7 nm,64MB,105 W,"Nov 5th, 2020"
Ryzen 5 5500U,Lucienne,12-Jun,2.1 to 4 GHz,Socket FP6,7 nm,8MB,15 W,"Jan 12th, 2021"
Ryzen 9 5950X,Vermeer,16 / 32,3.4 to 4.9 GHz,Socket AM4,7 nm,64MB,105 W,"Nov 5th, 2020"
Ryzen 5 5500,Cezanne,12-Jun,3.7 to 4.2 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 4th, 2022"
Core i5-10400F,Comet Lake,12-Jun,2.9 to 4.3 GHz,Socket 1200,14 nm,12MB,65 W,"Apr 30th, 2020"
Ryzen 7 3700X,Matisse,16-Aug,3.6 to 4.4 GHz,Socket AM4,7 nm,32MB,65 W,"Jul 7th, 2019"
Ryzen 5 PRO 4650G,Renoir,12-Jun,3.7 to 4.2 GHz,Socket AM4,7 nm,8MB,65 W,"Jul 21st, 2020"
Ryzen 5 2600,Zen,12-Jun,3.4 to 3.9 GHz,Socket AM4,12 nm,16MB,65 W,"Apr 19th, 2018"
Ryzen 7 5800G,Cezanne,16-Aug,3.8 to 4.8 GHz,Socket AM4,7 nm,16MB,65 W,Unknown
A8-7680,Carrizo,4,3.5 to 3.8 GHz,Socket FM2+,28 nm,N/A,45 W,"Oct 26th, 2018"
Ryzen 7 5700G,Cezanne,16-Aug,3.8 to 4.6 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 13th, 2021"
FX-6300,Vishera,6,3.5 to 4.1 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
Ryzen 3 3200G,Picasso,4,3.6 to 4 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 7th, 2019"
Core i5-3470,Ivy Bridge,4,3.2 to 3.6 GHz,Socket 1155,22 nm,6MB,77 W,"Jun 1st, 2012"
FX-8350,Vishera,8,4 to 4.2 GHz,Socket AM3+,32 nm,8MB,125 W,"Oct 23rd, 2012"
Core i9-12900KS,Alder Lake-S,16 / 24,3.4 to 5.5 GHz,Socket 1700,10 nm,30MB,150 W,"Apr 5th, 2022"
